rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:7lPN2DXiMsVn7XUKtOW1CS","Olivia Rodrigo","drivers license","Olivia Rodrigo PS",1,1,19,"199799"
2,"spotify:track:58f4twRnbZOOVUhMUpplJ4","AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","Brown Munde","Run-up Records",2,6,71,"187305"
3,"spotify:track:4Nc4ojIRbHohLiX9NmKkVh","Harnoor","Waalian","Sky Digital",1,2,112,"185896"
4,"spotify:track:1smFN2CLqGROu0J0UyvDfL","Pritam, Arijit Singh","Shayad","Sony Music Entertainment India Pvt. Ltd.",1,3,374,"166389"
5,"spotify:track:0vqw3BCyNr3DDVBmjD21H8","Kaka","Libaas","Single Track Studios",3,4,54,"163890"
6,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,5,617,"152942"
7,"spotify:track:1980E4Grgu5xAhNbFZ1mb1","Afsana Khan, Harrdy Sandhu, Sargun Mehta","Titliaan","Universal Music India Pvt Ltd.",1,7,81,"138771"
8,"spotify:track:5mnvugwfFYnJm9zuyGkgqF","Asim Azhar, Zenab Fatimah Sultan","Ghalat Fehmi - From ""Superstar""","Hum Films",8,11,17,"134623"
9,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",1,9,162,"127730"
10,"spotify:track:35mvY5S1H3J2QZyna3TFe0","Ariana Grande","positions","Republic Records",3,8,99,"127276"
11,"spotify:track:3jxNbVmugKWFFc3YAVl0sD","Pritam, Arijit Singh","Aabaad Barbaad","T-Series",5,10,94,"125551"
12,"spotify:track:7zKzD5wM18bQSiJTAxTpwH","DIVINE, MC Altaf, Stylo G, Phenom","Mirchi","Universal Music India Pvt Ltd.",2,12,106,"119826"
13,"spotify:track:3tjFYV6RSFtuktYl3ZtYcq","24kGoldn, iann dior","Mood (feat. iann dior)","Records/Columbia",2,13,159,"119201"
14,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,14,510,"116463"
15,"spotify:track:1orM67pmkNc4alrZkWjYkV","Guru Randhawa, Nikhita Gandhi, Tanishk Bagchi, Nora Fatehi","Naach Meri Rani","T-Series",1,15,102,"115467"
16,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,16,610,"113108"
17,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",3,17,428,"110899"
18,"spotify:track:2W9awzkFJzPRddvLXtCSOU","Inder Chahal, Karan Aujla","Guilty","Savage Rechords",18,18,18,"110655"
19,"spotify:track:2BcPFQ7nrtUObgAs72xaac","Anirudh Ravichander, Gana Balachandar","Vaathi Coming","Sony Music Entertainment India Pvt. Ltd.",16,20,170,"108758"
20,"spotify:track:4vwPirpSJCOiIsgxMV4Xcv","Ritviz","Liggi","Ritviz",4,19,391,"108611"
21,"spotify:track:2cVJDlu9jmkPUeuJxA6v8i","Anirudh Ravichander, Bjorn Surrao","Master the Blaster (From ""Master"")","Sony Music Entertainment India Pvt. Ltd.",21,28,14,"100866"
22,"spotify:track:1nhJF3mMAL9UgBz3vLLNuM","Yo Yo Honey Singh, Ipsitaa","First Kiss","T-Series",18,22,67,"99567"
23,"spotify:track:3wmI2n0Whs6kg4MT8jFRU1","Darshan Raval, Neha Kakkar, Manan Bhardwaj","Teri Aankhon Mein","T-Series",7,21,115,"99495"
24,"spotify:track:0ct6r3EGTcMLPtrXHDvVjc","Avicii","The Nights","Universal Music AB",24,24,27,"98318"
25,"spotify:track:0WdbnNKO0Jt4BZACSDQh44","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")","YRF Music",1,23,513,"97604"
26,"spotify:track:57jOEZtoLQK4zF2x55bdkp","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","T-Series",8,26,424,"94421"
27,"spotify:track:0ZHILXmUaVSLEOCWxPQ1ga","Tanishk Bagchi, Yasser Desai, Asees Kaur","Makhna","Zee Music Company",2,27,485,"92218"
28,"spotify:track:0u2P5u6lvoDfwTYjAADbn4","Billie Eilish, Khalid","lovely (with Khalid)","Darkroom",22,25,650,"91913"
29,"spotify:track:3ZVKI8jix6PjEFx2xFBFhz","Shashi, DJ Khushi, Nikhita Gandhi, Madhubanti","BurjKhalifa (From ""Laxmii"")","Zee Music Company",2,29,104,"88775"
30,"spotify:track:39QJ7KkN3L8LLqQqsO85W1","Yo Yo Honey Singh, Neha Kakkar, Nushrratt Bharuccha","Saiyaan Ji","T-Series",30,36,3,"88401"
31,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,31,589,"88072"
32,"spotify:track:249gnXrbfmV8NG6jTEMSwD","BTS","Life Goes On","BIGHIT MUSIC",1,32,71,"87961"
33,"spotify:track:2gNMXJDKRmKWuevBGjN8wo","DIVINE","3:59 AM","Universal Music India Pvt Ltd.",12,30,58,"87900"
34,"spotify:track:4AVe62GFbb3ffKXjUSpiuv","Jass Manak, DIVINE","No Competition","Geet Mp3",11,35,164,"87010"
35,"spotify:track:4DpNNXFMMxQEKl7r0ykkWA","Melanie Martinez","Play Date","Atlantic Records",1,33,278,"85409"
36,"spotify:track:1r6sFC5J0p9r3jcfIoSGDM","Neha Kakkar, Jubin Nautiyal, Jaani","Taaron Ke Shehar","T-Series",5,34,131,"84651"
37,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",28,37,703,"83520"
38,"spotify:track:6Im9k8u9iIzKMrmV7BWtlF","Ariana Grande","34+35","Republic Records",17,38,91,"80996"
39,"spotify:track:5vGLcdRuSbUhD8ScwsGSdA","CJ","Whoopty","CJ Music Group/T-Series",38,39,44,"80770"
40,"spotify:track:2KrrAi2smn5Fa7sy7TxrKg","Dhvani Bhanushali, Jubin Nautiyal, Lijo George-Dj Chetas","Nayan","T-Series",40,41,52,"80174"
