rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:3VqeTFIvhxu3DIe4eZVzGq","BTS","Butter","BIGHIT MUSIC",1,1,15,"365824"
2,"spotify:track:67BtfxlNbhBmCDR2L2l8qd","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,2,69,"200224"
3,"spotify:track:58f4twRnbZOOVUhMUpplJ4","AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","Brown Munde","Run-up Records",1,4,197,"182497"
4,"spotify:track:2ufLEVbzvEcJ3subW8jBUp","Jubin Nautiyal, Tanishk Bagchi, Nusrat Fateh Ali Khan, Emraan Hashmi","Lut Gaye","T-Series",1,3,108,"180806"
5,"spotify:track:4iJyoBOLtHqaGxP12qzhQI","Justin Bieber, Daniel Caesar, Giveon","Peaches (feat. Daniel Caesar & Giveon)","RBMG/Def Jam",1,5,78,"160705"
6,"spotify:track:4ZtFanR9U6ndgddUvNcjcG","Olivia Rodrigo","good 4 u","Olivia Rodrigo PS",6,7,22,"159462"
7,"spotify:track:4saklk6nie3yiGePpBwUoc","BTS","Dynamite","BIGHIT MUSIC",1,6,288,"152818"
8,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",6,8,127,"149608"
9,"spotify:track:5nsET7aVWXu017lsQjRFCV","Stebin Ben, Nilesh Ahuja, Kumaar","Thoda Thoda Pyaar","Zee Music Company",9,9,87,"132540"
10,"spotify:track:0BGwAKW4u8kWOhWFflZxfl","Masked Wolf","Astronaut In The Ocean","Elektra (NEK)",3,10,140,"131011"
11,"spotify:track:5nujrmhLynf4yMoMtj8AQF","Dua Lipa, DaBaby","Levitating (feat. DaBaby)","Warner Records",9,11,219,"130364"
12,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,13,743,"127244"
13,"spotify:track:36cqlmc53NqlEUqPJdgUOx","Sidhu Moose Wala, Raja Kumari","US (feat. Raja Kumari)","Sidhu Moose Wala",2,12,13,"125557"
14,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",9,14,50,"119322"
