rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2rOnSn2piaqLAlYjtfUBlY","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,1,147,"568351"
2,"spotify:track:72zHuDxFQTjbL51qJQSA7j","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,2,142,"466179"
3,"spotify:track:1iZLpuGMr4tn1F5bZu32Kb","Harrdy Sandhu","Bijlee Bijlee","Universal Music India Pvt Ltd.",2,3,55,"427131"
4,"spotify:track:5pcmtf1lwrMqmAWWm248fY","AP Dhillon, Gurinder Gill","DESIRES","RUN-UP RECORDS",4,4,34,"393035"
5,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,5,169,"354004"
6,"spotify:track:2NTVtNcpC0i1R7LVGaCZCF","Badshah, Nikhita Gandhi","Jugnu","Universal Music India Pvt Ltd.",5,6,59,"328844"
7,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill","TERE TE","RUN-UP RECORDS",6,7,34,"311265"
8,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",8,8,253,"292972"
9,"spotify:track:4gvrJnKCKIPiacNsWVQwEU","CKay, Dj Yo 1, AX'EL","love nwantiti (feat. Dj Yo 1 & AX'EL) - Remix","WM South Africa",4,9,98,"275421"
10,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",8,10,162,"269302"
11,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",6,11,155,"259166"
12,"spotify:track:3szxldqiYs7nkvtmooRod8","Indravathi Chauhan","Oo Antava Oo Oo Antava","Aditya Music",10,13,14,"255264"
13,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",5,12,330,"254961"
14,"spotify:track:2YmXGUx32C3CUEgcAyHcGf","Devi Sri Prasad, Sid Sriram","Srivalli","Aditya Music",14,14,73,"242900"
15,"spotify:track:4ZUxhQNRCzlh6alqBHPNRC","Mounika Yadav","Saami Saami","Aditya Music",15,15,57,"240772"
16,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",16,18,65,"230745"
17,"spotify:track:7xeE24WnWUXDwgqGiaeshi","Shubh","We Rollin","SHUBH",11,16,45,"228382"
18,"spotify:track:58f4twRnbZOOVUhMUpplJ4","AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","Brown Munde","Run-up Records",1,20,400,"225587"
19,"spotify:track:09vHbIezp9NP31CZWysk3v","Tanishk Bagchi, Pav Dharia, Nikhita Gandhi","Najaa (From ""Sooryavanshi"")","T-Series",7,21,51,"215921"
20,"spotify:track:6XPmY4hIb1RGRyNuq0UBsl","The PropheC","Kina Chir","PropheC Productions",11,19,65,"213432"
21,"spotify:track:4fouWK6XVHhzl78KzQ1UjL","GAYLE","abcdefu","Atlantic/Arthouse Records",14,17,30,"212059"
22,"spotify:track:1SOClUWhOi8vHZYMz3GluK","Jaymes Young","Infinity","Atlantic Records",20,22,21,"206665"
23,"spotify:track:48QmG1dfvMuYLxMPt7KSRA","Sean Paul, Dua Lipa","No Lie","Universal-Island Records Ltd.",18,23,43,"203979"
24,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,24,946,"203912"
25,"spotify:track:3jf5303mzzJ96O8xFTcEn4","B Praak","Mann Bharryaa 2.0 (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",3,26,132,"191717"
26,"spotify:track:5urYiIXu1ZhfMAOsp7WDTc","Yasser Desai, Neha Kakkar, Rajat Nagpal","Dil Ko Karaar Aaya (From ""Sukoon"")","Desi Music Factory",1,25,221,"190731"
27,"spotify:track:6G699QfN1BWYWXfiblH51F","Tanishk Bagchi, Zahrah S Khan, Dev Negi","Kusu Kusu (From ""Satyameva Jayate 2"")","T-Series",15,28,45,"188351"
28,"spotify:track:186NCtNk1tUYS7c2DxgJ7O","V","Christmas Tree","MOST CONTENTS",28,-1,1,"187607"
29,"spotify:track:3gOXq3FPPesm7VLPKmef6j","A.R. Rahman, Arijit Singh, Shashaa Tirupati","Rait Zara Si","T-Series",29,37,19,"185281"
30,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment",5,27,106,"184196"
31,"spotify:track:0tpwqQhdfJXRcUDSNRjb9O","Arijit Singh, Neeti Mohan, Rashmi Virag","Mere Yaaraa (From ""Sooryavanshi"")","T-Series",23,29,59,"181237"
32,"spotify:track:5eN1nmOe9R29OBL6soTJov","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","MAJHE AALE","RUN-UP RECORDS",28,31,34,"168330"
33,"spotify:track:3D0pmiK3zyF9PudyJ8mkor","AP Dhillon, Amari","Ma Belle","RUN-UP RECORDS",16,30,162,"166274"
34,"spotify:track:0XwRlvv3KlOu4HWlOH34XG","Diljit Dosanjh","Lover","Diljit Dosanjh",8,32,125,"164009"
35,"spotify:track:4uLG79ROWYEXx1kJvDVbWI","A.R. Rahman, Shreya Ghoshal","Chaka Chak","T-Series",35,45,25,"158327"
36,"spotify:track:1smFN2CLqGROu0J0UyvDfL","Pritam, Arijit Singh","Shayad","Sony Music Entertainment India Pvt. Ltd.",1,33,703,"156455"
37,"spotify:track:2PcGqmKToUz0s65q1Acg7d","AP Dhillon, Shinda Kahlon, Gminxr","SPACESHIP","RUN-UP RECORDS",33,34,34,"153951"
38,"spotify:track:4hOsYVSWKWP71u3yQbcqZB","Harnoor","Waalian","Jatt Life Studios",12,35,319,"151130"
39,"spotify:track:3H3x4NhR3wJh6IvRHmPvkd","Thaman S, Srivardhini, Aditi Bhavaraju, Satya Yamini, Roshini JKV, Tejaswini","Tum Tum (From ""Enemy - Tamil"")","Divo Tv Private Limited",34,38,26,"150509"
40,"spotify:track:28fPIWqAfqoEEGSb0rA4LZ","Andrea Jeremiah","Oo Solriya Oo Oo Solriya","Aditya Music",34,36,11,"147701"
41,"spotify:track:7I6mwEFQwpTu5ciVZWFpd4","Mithoon, Arijit Singh","Aashiqui Aa Gayi(From ""Radhe Shyam"")","T-Series",25,39,24,"146242"
42,"spotify:track:3KeMulXbLDJBQdY5PZbGEh","A.R. Rahman, Shreya Ghoshal","Param Sundari","Sony Music Entertainment India Pvt. Ltd.",6,40,161,"145286"
43,"spotify:track:5zfRl79umXWvKoA7p4KEPa","Tanishk Bagchi, Udit Narayan, Alka Yagnik","Tip Tip (From ""Sooryavanshi"")","T-Series",14,42,49,"144388"
44,"spotify:track:3gc2Rho0Tn8i4LBgf6f2O5","Mithoon, Arijit Singh, Manoj Muntashir","Soch Liya (From ""Radhe Shyam"")","T-Series",30,43,17,"144166"
45,"spotify:track:4iKGu3xtvm90eBw0EIPWJP","Rahul Sipligunj, Kala Bhairava, M. M. Keeravani","Naatu Naatu (From ""Rrr"")","Lahari Music",16,44,45,"142073"
46,"spotify:track:6qZyM6JV8ohLC4S2EL5sFh","Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar","Barbaadiyan","T-Series",14,41,85,"141005"
47,"spotify:track:7lGhrfren1Zpwh0ds0zuUg","Arijit Singh, Parampara Tandon","Pal Pal Dil Ke Paas- Title Track","Zee Music Company",3,49,851,"133812"
48,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,48,272,"132857"
49,"spotify:track:6CTN8S2qzPwZdwwp0Nugvy","Manan Bhardwaj","Shiddat Title Track (From ""Shiddat"")","T-Series",12,46,84,"132404"
50,"spotify:track:2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","Let Me Down Slowly","2018",32,47,624,"131614"
51,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,51,939,"131124"
52,"spotify:track:2rU33n6Fhd6G1MzYhUj6C5","Jubin Nautiyal, Emraan Hashmi","Lut Gaye","T-Series",1,53,296,"130594"
53,"spotify:track:7e6J0HgooHYVi4SwdOB2OM","Nakash Aziz","Eyy Bidda Idhi Naa Adda","Aditya Music",53,54,23,"130078"
54,"spotify:track:1y5beX4vn7QPfg36r4jiWo","Maninder Buttar, Zahrah S Khan, Tanishk Bagchi","Sakhiyan2.0","Saregama",7,56,134,"128727"
55,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",6,52,136,"127106"
56,"spotify:track:2J2Z1SkXYghSajLibnQHOa","Sia","Unstoppable","Monkey Puzzle Records/RCA Records",33,50,148,"126407"
57,"spotify:track:2PEo8JQ48mfEv8a2HLqDvt","Sachin-Jigar, Rashmeet Kaur, Shamur, IP Singh","Nadiyon Paar (Let the Music Play Again) (From ""Roohi"")","Sony Music Entertainment India Pvt. Ltd.",4,59,297,"125632"
58,"spotify:track:474VqnPDr0251lsQBB8sQB","BTS, Megan Thee Stallion","Butter - Megan Thee Stallion Remix","BIGHIT MUSIC",1,65,218,"124656"
59,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",7,55,100,"124232"
60,"spotify:track:6R6BpMBFQrF7n2uEOxYmss","Javed-Mohsin, Darshan Raval","Kabhii Tumhhe (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",5,61,130,"121649"
61,"spotify:track:0tjnLIbuF8mwLUKq3CNIdH","Sachet Tandon, Parampara Tandon, Sachin-Jigar","Jug Jug Jeeve","T-Series",29,57,66,"121548"
62,"spotify:track:5nsET7aVWXu017lsQjRFCV","Stebin Ben, Nilesh Ahuja, Kumaar","Thoda Thoda Pyaar","Zee Music Company",9,58,290,"121454"
63,"spotify:track:6JUQViD0hLXlvWXCV4uUF8","Manan Bhardwaj","Chitta","T-Series",8,60,70,"121306"
64,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,63,839,"118295"
65,"spotify:track:3B4etxytImrRKQgV3XHjnR","Katy Perry","Harleys In Hawaii","Capitol Records",31,62,137,"117673"
66,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,64,918,"115740"
67,"spotify:track:0pqnGHJpmpxLKifKRmU6WP","Imagine Dragons","Believer","Kid Ina Korner / Interscope",24,66,1032,"113813"
68,"spotify:track:4Xqz9Rb62iJjmLUxt9Qa7K","Sachet Tandon, Sachet-Parampara","Mehram (From ""Jersey"")","Zee Music Company",49,71,22,"113016"
69,"spotify:track:32LKwbmh6yVsWoRRF8DIvf","Pav Dharia","Na Ja","Ishtar-White Hill Music",50,69,55,"111213"
70,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",3,76,92,"110926"
71,"spotify:track:5QDLhrAOJJdNAmCTJ8xMyW","BTS","Dynamite","BIGHIT MUSIC",1,72,491,"110130"
72,"spotify:track:1J14CdDAvBTE1AJYUOwl6C","Duncan Laurence","Arcade","Universal Music, a division of Universal International Music BV",7,67,307,"109107"
73,"spotify:track:3UrNOHCzVxX2KZbNcKQAyu","Nicki Minaj, Lil Wayne","High School","Nicki Minaj/Cash Money",62,68,26,"109056"
74,"spotify:track:5eGsHi6RcL33gb9k89UYaB","Tegi Pannu, Manni Sandhu","Schedule","Collab Creations Ltd",30,78,120,"107768"
