rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:2rOnSn2piaqLAlYjtfUBlY","Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,1,105,"494680"
2,"spotify:track:72zHuDxFQTjbL51qJQSA7j","Jasleen Royal, B Praak, Romy, Anvita Dutt","Ranjha (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",1,2,100,"483457"
3,"spotify:track:5PjdY0CKGZdEuoNab3yDmX","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,3,127,"362367"
4,"spotify:track:4gvrJnKCKIPiacNsWVQwEU","CKay, Dj Yo 1, AX'EL","love nwantiti (feat. Dj Yo 1 & AX'EL) - Remix","WM South Africa",4,4,56,"354012"
5,"spotify:track:3jf5303mzzJ96O8xFTcEn4","B Praak","Mann Bharryaa 2.0 (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",3,5,90,"248576"
6,"spotify:track:5Z9KJZvQzH6PFmb8SNkxuk","Lil Nas X, Jack Harlow","INDUSTRY BABY (feat. Jack Harlow)","Columbia",6,7,113,"243327"
7,"spotify:track:7hU3IHwjX150XLoTVmjD0q","LISA","MONEY","YG Entertainment",5,6,64,"242412"
8,"spotify:track:2NTVtNcpC0i1R7LVGaCZCF","Badshah, Nikhita Gandhi","Jugnu","Universal Music India Pvt Ltd.",8,9,17,"229151"
9,"spotify:track:09vHbIezp9NP31CZWysk3v","Tanishk Bagchi, Pav Dharia, Nikhita Gandhi","Najaa (From ""Sooryavanshi"")","T-Series",8,8,9,"224199"
10,"spotify:track:1iZLpuGMr4tn1F5bZu32Kb","Harrdy Sandhu","Bijlee Bijlee","Universal Music India Pvt Ltd.",10,17,13,"202628"
11,"spotify:track:6JUQViD0hLXlvWXCV4uUF8","Manan Bhardwaj","Chitta","T-Series",8,10,28,"201381"
12,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",8,11,120,"198651"
13,"spotify:track:0yCWDaAgOtg6TKlNCg9rwA","King","Tu Aake Dekhle","Kingsclan Records",5,12,288,"196884"
14,"spotify:track:0XwRlvv3KlOu4HWlOH34XG","Diljit Dosanjh","Lover","Diljit Dosanjh",8,15,83,"184239"
15,"spotify:track:6qZyM6JV8ohLC4S2EL5sFh","Sachet Tandon, Nikhita Gandhi, Madhubanti Bagchi, Sachin-Jigar","Barbaadiyan","T-Series",14,14,43,"180272"
16,"spotify:track:2FCXQHugkoHE1K3tiDu8pu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",4,13,904,"178253"
17,"spotify:track:6CTN8S2qzPwZdwwp0Nugvy","Manan Bhardwaj","Shiddat Title Track (From ""Shiddat"")","T-Series",12,18,42,"166817"
18,"spotify:track:4iKGu3xtvm90eBw0EIPWJP","Rahul Sipligunj, Kala Bhairava, M. M. Keeravani","Naatu Naatu (From ""Rrr"")","Lahari Music",16,16,3,"164467"
19,"spotify:track:1y5beX4vn7QPfg36r4jiWo","Maninder Buttar, Zahrah S Khan, Tanishk Bagchi","Sakhiyan2.0","Saregama",7,19,92,"163223"
20,"spotify:track:1smFN2CLqGROu0J0UyvDfL","Pritam, Arijit Singh","Shayad","Sony Music Entertainment India Pvt. Ltd.",1,20,661,"159894"
21,"spotify:track:5urYiIXu1ZhfMAOsp7WDTc","Yasser Desai, Neha Kakkar, Rajat Nagpal","Dil Ko Karaar Aaya (From ""Sukoon"")","Desi Music Factory",1,22,179,"159668"
22,"spotify:track:6XPmY4hIb1RGRyNuq0UBsl","The PropheC","Kina Chir","PropheC Productions",22,26,23,"157541"
23,"spotify:track:2Xr1dTzJee307rmrkt8c0g","CKay","love nwantiti (ah ah ah)","Chocolate City Music",7,21,58,"156346"
24,"spotify:track:6R6BpMBFQrF7n2uEOxYmss","Javed-Mohsin, Darshan Raval","Kabhii Tumhhe (From ""Shershaah"")","Sony Music Entertainment India Pvt. Ltd.",5,24,88,"154131"
25,"spotify:track:5zfRl79umXWvKoA7p4KEPa","Tanishk Bagchi, Udit Narayan, Alka Yagnik","Tip Tip (From ""Sooryavanshi"")","T-Series",14,23,7,"152034"
26,"spotify:track:6Uj1ctrBOjOas8xZXGqKk4","Doja Cat","Woman","Kemosabe Records/RCA Records",6,25,94,"151395"
27,"spotify:track:3KeMulXbLDJBQdY5PZbGEh","A.R. Rahman, Shreya Ghoshal","Param Sundari","Sony Music Entertainment India Pvt. Ltd.",6,27,119,"150910"
28,"spotify:track:55nRhkhe7ckZhazYrv6ZOX","Grewal, Zehr Vibe","Distance Love","Sky Digital",19,28,34,"142247"
29,"spotify:track:2rU33n6Fhd6G1MzYhUj6C5","Jubin Nautiyal, Emraan Hashmi","Lut Gaye","T-Series",1,31,254,"134714"
30,"spotify:track:7lGhrfren1Zpwh0ds0zuUg","Arijit Singh, Parampara Tandon","Pal Pal Dil Ke Paas- Title Track","Zee Music Company",3,30,809,"131974"
31,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",3,29,50,"128944"
32,"spotify:track:0tjnLIbuF8mwLUKq3CNIdH","Sachet Tandon, Parampara Tandon, Sachin-Jigar","Jug Jug Jeeve","T-Series",29,34,24,"127452"
33,"spotify:track:3B4etxytImrRKQgV3XHjnR","Katy Perry","Harleys In Hawaii","Capitol Records",31,32,95,"127392"
34,"spotify:track:7HPM13Xek5XoRWxRzHfvkB","Jubin Nautiyal, Meet Bros., Shardul Rathod","Dil Galti Kar Baitha Hai","T-Series",21,33,48,"126563"
35,"spotify:track:4hOsYVSWKWP71u3yQbcqZB","Harnoor","Waalian","Jatt Life Studios",12,36,277,"121451"
36,"spotify:track:1SC5rEoYDGUK4NfG82494W","Lil Nas X","MONTERO (Call Me By Your Name)","Columbia",1,35,230,"120653"
37,"spotify:track:2qxmye6gAegTMjLKEBoR3d","Alec Benjamin","Let Me Down Slowly","2018",32,37,582,"118824"
38,"spotify:track:58f4twRnbZOOVUhMUpplJ4","AP Dhillon, Gminxr, Gurinder Gill, Shinda Kahlon","Brown Munde","Run-up Records",1,38,358,"116861"
39,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,40,897,"113138"
40,"spotify:track:2YmXGUx32C3CUEgcAyHcGf","Devi Sri Prasad, Sid Sriram","Srivalli","Aditya Music",22,39,31,"113079"
41,"spotify:track:6G699QfN1BWYWXfiblH51F","Tanishk Bagchi, Zahrah S Khan, Dev Negi","Kusu Kusu (From ""Satyameva Jayate 2"")","T-Series",41,47,3,"112790"
42,"spotify:track:5nsET7aVWXu017lsQjRFCV","Stebin Ben, Nilesh Ahuja, Kumaar","Thoda Thoda Pyaar","Zee Music Company",9,44,248,"109299"
43,"spotify:track:576v1keY82NOPITMNu0wD2","B Praak, Akshay Kumar, Nupur Sanon, Ammy Virk","Filhaal2 Mohabbat","Universal Music India Pvt Ltd.",2,41,130,"108677"
44,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,43,797,"106452"
45,"spotify:track:1J14CdDAvBTE1AJYUOwl6C","Duncan Laurence","Arcade","Universal Music, a division of Universal International Music BV",7,45,265,"103632"
46,"spotify:track:3UhmuWcFaLS3AO3kI9ynQ2","AP Dhillon, Shinda Kahlon, Gurinder Gill, Gminxr","Insane","RUN-UP RECORDS",9,48,211,"103224"
47,"spotify:track:5enxwA8aAbwZbf5qCHORXi","Taylor Swift","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)","Taylor Swift",47,-1,1,"102941"
48,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,46,876,"102467"
49,"spotify:track:2bgTY4UwhfBYhGT4HUYStN","BTS","Butter","BIGHIT MUSIC",1,42,176,"102004"
50,"spotify:track:5eGsHi6RcL33gb9k89UYaB","Tegi Pannu, Manni Sandhu","Schedule","Collab Creations Ltd",30,50,78,"101792"
51,"spotify:track:0eu4C55hL6x29mmeAjytzC","Oliver Tree","Life Goes On","Atlantic Records",23,49,45,"100612"
