rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:5fXslGZPI5Cco6PKHzlSL3","Jasmine Sandlas, Garry Sandhu, Tanishk Bagchi, Intense","Illegal Weapon 2.0 (From ""Street Dancer 3D"")","T-Series",1,1,21,"192161"
2,"spotify:track:28veUNu4veN0LOBVa0nFw8","Yash Narvekar, Parampara Tandon, Tanishk Bagchi","Muqabla (From ""Street Dancer 3D"")","T-Series",1,2,35,"161717"
3,"spotify:track:6q9XTgfWilsnyiFofvYrIF","Badshah, Neha Kakkar, Varun Dhawan","Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","T-Series",3,3,30,"148237"
4,"spotify:track:4TnjEaWOeW0eKTKIEvJyCa","Trevor Daniel","Falling","Alamo",2,4,64,"134513"
5,"spotify:track:41L3O37CECZt3N7ziG2z7l","Justin Bieber","Yummy","RBMG/Def Jam",2,5,22,"130049"
6,"spotify:track:018eOid2aGaPdxon7T6GsC","Pritam, Arijit Singh","Shayad (From ""Love Aaj Kal"")","Sony Music Entertainment India Pvt. Ltd.",6,9,3,"127849"
7,"spotify:track:0ZHILXmUaVSLEOCWxPQ1ga","Tanishk Bagchi, Yasser Desai, Asees Kaur","Makhna","Zee Music Company",2,6,114,"127058"
8,"spotify:track:5I2wbDvSI98HLVB42YO9sU","Guru Randhawa, Tulsi Kumar, Sachin-Jigar, Vee","Lagdi Lahore Di (From ""Street Dancer 3D"")","T-Series",7,7,10,"125739"
9,"spotify:track:25MPTnqXQB1H6OkwSYUXWx","Ved Sharma","Malang (Title Track) [From ""Malang - Unleash The Madness""]","T-Series",8,8,9,"121102"
10,"spotify:track:0WdbnNKO0Jt4BZACSDQh44","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")","YRF Music",1,10,142,"112891"
11,"spotify:track:7FIWs0pqAYbP91WWM0vlTQ","Eminem, Juice WRLD","Godzilla (feat. Juice WRLD)","Shady/Aftermath/Interscope Records",10,11,8,"108521"
12,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",2,13,127,"99485"
13,"spotify:track:0TkquWzzuxcrwbCWlTrKYF","Neha Kakkar, Tanishk Bagchi, Lalit Sen","Yaad Piya Ki Aane Lagi","T-Series",2,12,69,"99112"
14,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,14,239,"96716"
15,"spotify:track:0sf12qNH5qcw8qpgymFOqD","The Weeknd","Blinding Lights","Republic Records",11,18,57,"88110"
16,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,15,218,"87576"
17,"spotify:track:57jOEZtoLQK4zF2x55bdkp","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","T-Series",14,16,53,"86254"
18,"spotify:track:696DnlkuDOXcMAnKlTgXXK","Arizona Zervas","ROXANNE","Arizona Zervas",9,17,80,"82349"
19,"spotify:track:6E9UwSfT80age2xknoMS7Y","Payal Dev, Jubin Nautiyal","Tum Hi Aana (From ""Marjaavaan"")","T-Series",2,19,114,"78413"
20,"spotify:track:4xmkpE1Si5JL7NFxWrhV0S","Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")","T-Series",20,64,2,"76813"
21,"spotify:track:1v8H06ctqfMX8IUxU9nCaI","Diljit Dosanjh, Sukhbir, Dhvani Bhanushali, Dj Chetas, Lijo George","Sauda Khara Khara","Zee Music Company",19,20,53,"76520"
22,"spotify:track:7ofWUKeNCUw1P64ArIwG9b","Tony Kakkar, Neha Kakkar, Tanishk Bagchi","Dheeme Dheeme (From ""Pati Patni Aur Woh"")","T-Series",14,21,75,"74962"
23,"spotify:track:0dnDTvdUco2UbaBjUtPxNS","Armaan Malik, Thaman S","Buttabomma - Telugu","Aditya Music",17,22,30,"72511"
24,"spotify:track:7HMmFQsKsljwTw8bS7lu19","Selena Gomez","Rare","Interscope Records",9,23,15,"67014"
25,"spotify:track:2tjWCe2W7sgvS3C8NHcdtI","Akhil, Dhvani Bhanushali, Abhijit Vaghani, Bob","Duniyaa (From ""Luka Chuppi"")","T-Series",1,26,332,"63882"
26,"spotify:track:7lGhrfren1Zpwh0ds0zuUg","Arijit Singh, Parampara Tandon","Pal Pal Dil Ke Paas- Title Track","Zee Music Company",3,27,151,"63231"
27,"spotify:track:2U0BLmYoSESYOdwMxW2yA9","Mithoon, Arijit Singh","Chal Ghar Chalen (From ""Malang - Unleash The Madness"") [Mithoon feat. Arijit Singh]","T-Series",17,25,15,"62738"
28,"spotify:track:5djZm1zFGcJUSUqbBjrAZH","Neha Kakkar, Tulsi Kumar, B Praak","O Saki Saki (From ""Batla House"")","T-Series",2,29,194,"61622"
29,"spotify:track:21jGcNKet2qwijlDFuPiPb","Post Malone","Circles","Republic Records",9,28,148,"61477"
30,"spotify:track:24NuEDgyRIljwSyY0lsr7b","BTS","Black Swan","BIGHIT MUSIC",6,24,8,"61119"
31,"spotify:track:5RHCtCi4k67doox07JmHTf","Badshah, Harrdy Sandhu, Lisa Mishra, Asees Kaur","Chandigarh Mein","Zee Music Company",16,32,59,"57956"
32,"spotify:track:4OcvkkpF3xmyCGGY5IBlgi","Akhil Sachdeva, Tulsi Kumar","Tera Ban Jaunga (From ""Kabir Singh"")","T-Series",4,34,222,"57351"
33,"spotify:track:2IoZMG3RqiTmsy7Li3zGFg","Sachet Tandon, Parampara Tandon, Sachet-Parampara","Mere Sohneya (From ""Kabir Singh"")","T-Series",4,30,233,"56914"
34,"spotify:track:1feANd8EfcDP5UqSvbheM3","Sachet Tandon, Sachet-Parampara","Bekhayali (From ""Kabir Singh"")","T-Series",1,31,245,"56889"
35,"spotify:track:3j9DrRebdWK1jkpOw9FZUy","Sid Sriram","Samajavaragamana","Aditya Music",7,33,119,"56366"
36,"spotify:track:7ltu5scschhmNWp5rp8rVF","Arijit Singh, Asees Kaur","Ve Maahi","Zee Music Company",3,36,304,"55088"
37,"spotify:track:6E7P1uT2afeor2t6wR2y2r","B Praak, Akshay Kumar, Nupur Sanon","Filhall","Universal Music India Pvt Ltd.",1,37,77,"54552"
38,"spotify:track:6AooRgSRDzbCYL4NZ4RCjU","DIVINE","Chal Bombay","Universal Music India Pvt Ltd.",20,35,109,"54533"
39,"spotify:track:7IAJzec1UxGYmNvbPTHbxx","Sohail Sen, Vishal Dadlani","Shaitan Ka Saala (From ""Housefull 4"")","T-Series",7,41,109,"53467"
40,"spotify:track:74qF0JeFMVilMEeFDiQZ48","Sunanda Sharma, Tanishk Bagchi","Mummy Nu Pasand (From ""Jai Mummy Di"")","T-Series",30,48,37,"52950"
41,"spotify:track:42ETKyApzUl8hTtytFAjen","Baani Sandhu, Gur Sidhu","8 Parche","White Hill Music",25,44,128,"52832"
42,"spotify:track:1CM4rFDU9q4EoLy2K44qE6","B Praak, Harrdy Sandhu, Swasti Mehul","Naah Goriye (From ""Bala"")","Sony Music Entertainment India Pvt. Ltd.",21,38,92,"52711"
43,"spotify:track:5zEx8v8GJKoTx55zGeq8me","Arijit Singh, Bohemia, Sachin-Jigar","Dua Karo (From ""Street Dancer 3D"")","T-Series",17,40,16,"52265"
44,"spotify:track:4wNIkl5XGiAACjFBlDWuSd","Jonas Brothers","What A Man Gotta Do","Republic Records",37,39,8,"52114"
45,"spotify:track:1q7W78ZYL9iqyYeVONU2hg","Badshah, Uchana Amit","Kamaal","Saga Music",30,45,46,"51101"
46,"spotify:track:3yOlyBJuViE2YSGn3nVE1K","Camila Cabello, DaBaby","My Oh My (feat. DaBaby)","Syco Music/Epic",20,42,50,"50485"
47,"spotify:track:7KhHA3mzt7A3LFlOJEAKpI","Alan Walker, Sabrina Carpenter, Farruko","On My Way","MER Recordings",1,47,310,"49792"
48,"spotify:track:0RiRZpuVRbi7oqRdSMwhQY","Post Malone, Swae Lee","Sunflower - Spider-Man: Into the Spider-Verse","Republic Records",3,49,332,"49726"
49,"spotify:track:1y1rQTkWmrZdJmjwuK07GC","Vishal Mishra","Kaise Hua (From ""Kabir Singh"")","T-Series",4,46,226,"49299"
50,"spotify:track:3sqRODOZ1Z6hR4F2tnFAlg","Maninder Buttar","Sakhiyaan","White Hill Music",18,50,332,"48821"
51,"spotify:track:7lidXGPXPYLNThITAOTlkK","Halsey","You should be sad","Capitol Records",38,43,15,"48180"
52,"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","Billie Eilish","everything i wanted","Darkroom/Interscope Records",8,71,72,"47358"
53,"spotify:track:4uXJADmybUHUgycBWFHeq6","Anurag Kulkarni, Mangli, Thaman S","Ramuloo Ramulaa - Duet","Aditya Music",30,51,90,"46282"
54,"spotify:track:76IXpU3ve4gHmvcduUN88d","Prem Dhillon, Sidhu Moose Wala","Old Skool","Sidhu Moose Wala",51,53,8,"46026"
55,"spotify:track:2TbCdbFzs2xO2nzasn0Qvw","Sachin-Jigar, Badshah, Shalmali Kholgade, Gurdeep Mehndi","Don't Be Shy Again (From ""Bala"")","Sony Music Entertainment India Pvt. Ltd.",32,60,99,"44406"
56,"spotify:track:5QVHNa0ppJUOoqSd36ovQS","Arijit Singh, B Praak","Pachtaoge (From ""Jaani Ve"")","T-Series",1,52,155,"44208"
57,"spotify:track:5xWpxI216rbOSiAqjdn6gy","Meet Bros., Neha Kakkar, Jassie Gill","Lamborghini (From ""Jai Mummy Di"")","T-Series",16,59,32,"44084"
58,"spotify:track:7gAyu0od48mkaCw1laPKVC","Vayu, Aastha Gill, AKASA, Puri","Naagin","Sony Music Entertainment India Pvt. Ltd.",27,56,99,"43833"
59,"spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc","Future, Drake","Life Is Good (feat. Drake)","Epic/Freebandz",36,58,15,"43629"
60,"spotify:track:39ujbBjTwwqUFySaCYDMMT","Badshah, Diljit Dosanjh, Aastha Gill","Proper Patola","Sony Music Entertainment India Pvt. Ltd.",18,55,332,"43527"
61,"spotify:track:1xoQjCAP6a63tZXbsMziXk","Deep Jandu, DIVINE","Bombay to Punjab","Geet Mp3",57,57,20,"43509"
