rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams
1,"spotify:track:46QbY78ha62aiu6gBgC7lS","Diljit Dosanjh","G.O.A.T.","FAMOUS STUDIOS INC",1,1,10,"135689"
2,"spotify:track:1smFN2CLqGROu0J0UyvDfL","Pritam, Arijit Singh","Shayad","Sony Music Entertainment India Pvt. Ltd.",1,3,199,"123932"
3,"spotify:track:1xQ6trAsedVPCdbtDAmk0c","Jawsh 685, Jason Derulo","Savage Love (Laxed - Siren Beat)","Columbia",1,4,56,"120349"
4,"spotify:track:2ZvWoJ82LKCgD0nU9H5ue5","A.R. Rahman, Jonita Gandhi, Hriday Gattani","Main Tumhara","Sony Music Entertainment India Pvt. Ltd.",1,2,19,"118163"
5,"spotify:track:7mNZUnDWUDidWBFaUpVtOC","Vilen","Chidiya","Darks Music Company",5,6,46,"106409"
6,"spotify:track:5O932cZmzOZGOGZz9RHx20","Pritam, Arijit Singh","Khairiyat","T-Series",1,5,335,"106390"
7,"spotify:track:4DpNNXFMMxQEKl7r0ykkWA","Melanie Martinez","Play Date","Atlantic Records",1,7,103,"95061"
8,"spotify:track:66Nmp3ztIMqX1j8yYtWl1X","Ritviz","Liggi","Ritviz",8,9,222,"88813"
9,"spotify:track:4UJkUnfEEL8B2JZ1OQfYOO","A.R. Rahman","Dil Bechara","Sony Music Entertainment India Pvt. Ltd.",2,8,29,"88798"
10,"spotify:track:2Fv2injs4qAm8mJBGaxVKU","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","T-Series",2,10,435,"85374"
11,"spotify:track:0ZHILXmUaVSLEOCWxPQ1ga","Tanishk Bagchi, Yasser Desai, Asees Kaur","Makhna","Zee Music Company",2,12,310,"84089"
12,"spotify:track:7ytR5pFWmSjzHJIeQkgog4","DaBaby, Roddy Ricch","ROCKSTAR (feat. Roddy Ricch)","South Coast Music Group/Interscope Records",6,14,101,"82027"
13,"spotify:track:6wQlQrTY5mVS8EGaFZVwVF","Juice WRLD, The Weeknd","Smile (with The Weeknd)","Grade A Productions/Interscope Records",13,-1,1,"81657"
14,"spotify:track:1XFZMenJ30FfGOsj8X5sqf","A.R. Rahman, Arijit Singh, Shashaa Tirupati","Khulke Jeene Ka","Sony Music Entertainment India Pvt. Ltd.",4,11,27,"81261"
15,"spotify:track:0WdbnNKO0Jt4BZACSDQh44","Vishal-Shekhar, Arijit Singh, Shilpa Rao, Kumaar","Ghungroo (From ""War"")","YRF Music",1,17,338,"79491"
16,"spotify:track:1wbxjQnN7MTk8MKt3SumyY","A.R. Rahman, Mohit Chauhan, Shreya Ghoshal","Taare Ginn","Sony Music Entertainment India Pvt. Ltd.",2,13,29,"79243"
17,"spotify:track:0VjIjW4GlUZAMYd2vXMi3b","The Weeknd","Blinding Lights","Republic Records",3,15,253,"78819"
18,"spotify:track:62aP9fBQKYKxi7PDXwcUAS","Surf Mesa, Emilee","ily (i love you baby) (feat. Emilee)","Astralwerks",6,16,123,"78518"
19,"spotify:track:2b8fOow8UzyDFAE27YhOZM","Maroon 5","Memories","Interscope Records*",2,18,323,"75660"
20,"spotify:track:57jOEZtoLQK4zF2x55bdkp","Rochak Kohli, Arijit Singh, Neha Kakkar","Tu Hi Yaar Mera (From ""Pati Patni Aur Woh"")","T-Series",8,19,249,"75576"
21,"spotify:track:0gzu5mm36VJH2Zqu8sQPTf","Badshah, Payal Dev","Genda Phool (feat. Payal Dev)","Sony Music Entertainment India Pvt. Ltd.",1,22,135,"75082"
22,"spotify:track:2rRJrJEo19S2J82BDsQ3F7","Trevor Daniel","Falling","Alamo",1,20,260,"73122"
23,"spotify:track:7eJMfftS33KTjuF7lTsMCx","Powfu, beabadoobee","death bed (coffee for your head)","Columbia",2,21,167,"72536"
24,"spotify:track:2Wo6QQD1KMDWeFkkjLqwx5","SAINt JHN, Imanbek","Roses - Imanbek Remix","Columbia/B1 Recordings",4,23,149,"70889"
25,"spotify:track:7krGSbOnw13S7tIpgVEWAo","Diljit Dosanjh","Clash","FAMOUS STUDIOS INC",3,25,10,"70644"
26,"spotify:track:25MPTnqXQB1H6OkwSYUXWx","Ved Sharma","Malang (Title Track) [From ""Malang - Unleash The Madness""]","T-Series",2,24,205,"70629"
27,"spotify:track:6v3KW9xbzN5yKLt9YKDYA2","Shawn Mendes, Camila Cabello","Señorita","Island Records",1,26,414,"67505"
28,"spotify:track:4xmkpE1Si5JL7NFxWrhV0S","Sachet Tandon, The Fusion Project","Humraah (From ""Malang - Unleash The Madness"")","T-Series",10,27,198,"67408"
29,"spotify:track:3qrdLVOClRU4yPkcXZ7c5u","Ayushmann Khurrana, Tanishk-Vayu","Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")","T-Series",11,28,186,"66269"
30,"spotify:track:1y1rQTkWmrZdJmjwuK07GC","Vishal Mishra","Kaise Hua (From ""Kabir Singh"")","T-Series",4,31,422,"62096"
31,"spotify:track:1rgnBhdG2JDFTbYkYRZAku","Tones And I","Dance Monkey","Elektra (NEK)",15,32,144,"61792"
32,"spotify:track:7CY0CmCpSglfUKCBOOiRfw","Jasmine Sandlas, Garry Sandhu","Illegal Weapon 2.0","T-Series",1,34,217,"60723"
33,"spotify:track:6UelLqGlWMcVH1E5c4H7lY","Harry Styles","Watermelon Sugar","Columbia",27,29,154,"59815"
34,"spotify:track:3vAn0qZzdyuHamcrpkfiX3","BLACKPINK","How You Like That","YG Entertainment",1,33,42,"59265"
35,"spotify:track:1fzAokzOONl4XEPUFoammu","Alka Yagnik, Arijit Singh","Agar Tum Saath Ho (From ""Tamasha"")","T-Series",28,39,442,"58727"
36,"spotify:track:3s3J70eRpRH2hcYq4mEXTJ","Akhil, Dhvani Bhanushali","Duniyaa (From ""Luka Chuppi"")","T-Series",1,35,528,"58494"
37,"spotify:track:7lGhrfren1Zpwh0ds0zuUg","Arijit Singh, Parampara Tandon","Pal Pal Dil Ke Paas- Title Track","Zee Music Company",3,36,347,"57942"
38,"spotify:track:6q9XTgfWilsnyiFofvYrIF","Badshah, Neha Kakkar, Varun Dhawan","Garmi (From ""Street Dancer 3D"") (feat. Varun Dhawan)","T-Series",2,38,226,"57227"
39,"spotify:track:0LRNOwAcNjPMxTYQahFo3S","Sumit Goswami","Feelings","Sony Music Regional",37,37,20,"57079"
40,"spotify:track:0MLZAgKQKHbPsJ12qHS860","Pritam, Arijit Singh, Shashwat Singh","Haan Main Galat","Sony Music Entertainment India Pvt. Ltd.",5,41,192,"56887"
41,"spotify:track:6cUOiOY5qh2FpIQWIYAd2h","Pritam, Darshan Raval, Antara Mitra","Mehrama","Sony Music Entertainment India Pvt. Ltd.",11,40,183,"55164"
